id,name,state_id,in_state_tuition,out_state_tuition,acceptance_rate,designation,size,midpoint_ACT,midpoint_SAT,school_site
177302,Barnes-Jewish College Goldfarb School of Nursing,25,,,,2,592,,,www.barnesjewishcollege.edu
177339,Kansas City Art Institute,25,35118,35118,0.5997,2,650,24,1086,www.kcai.edu
177418,Kenrick Glennon Seminary,25,18737,18737,1,2,61,,,www.kenrick.edu
177427,A T Still University of Health Sciences,25,,,,2,,,,WWW.ATSU.EDU
177436,Lake Career and Technical Center,25,4500,4500,,1,19,,,camdentonschools.schoolwires.net/lctc
177472,Lex La-Ray Technical Center,25,,,1,1,35,,,www.lexlaray.com
177542,Lindenwood University,25,15580,15580,0.5288,2,7986,23,1038,www.lindenwood.edu
177551,State Technical College of Missouri,25,5820,10560,,1,1177,,,www.statetechmo.edu
177579,Logan University,25,,,,2,47,,,www.logan.edu
177588,Metropolitan Community College-Kansas City,25,2880,6900,,1,15547,,,www.mcckc.edu
177603,Lutheran School of Nursing,25,10585,10585,1,3,219,,,www.nursingschoollmc.com
177676,Maryville University of Saint Louis,25,25884,25884,0.7205,2,2736,25,1137,www.maryville.edu
177685,Merrell University of Beauty Arts and Science,25,,,,3,105,,,merrelluniversity.edu
177719,Metro Business College-Cape Girardeau,25,10325,10325,,3,118,,,www.metrobusinesscollege.edu
177746,Midwest Institute,25,,,,3,225,,,midwestinstitute.com
177816,Midwestern Baptist Theological Seminary,25,5760,5760,0.7636,2,346,20,970,https://www.mbts.edu
177834,Mineral Area College,25,3110,5240,,1,3778,,,www.mineralarea.edu
177870,Westwood College-O'Hare Airport,13,15378,15378,,3,311,,,www.westwood.edu
177931,Missouri Baptist University,25,22760,22760,0.6023,2,1706,21,984,www.mobap.edu
177940,National Academy of Beauty Arts-Farmington,25,,,,3,47,,,www.naba.edu
177968,Missouri College,25,14702,14702,,3,584,,,www.missouricollege.edu/
177977,Missouri School of Barbering & Hairstyling-St. Louis,25,,,,3,19,,,
177986,Missouri Southern State University,25,5416,10450,0.96,1,5076,21,990,www.mssu.edu
177995,Missouri Tech,25,15530,15530,1,3,105,,,www.motech.edu
178004,Missouri Valley College,25,18400,18400,0.4378,2,1383,,,www.moval.edu
178059,Missouri Western State University,25,6790,12420,,1,4783,,,https://www.missouriwestern.edu
178077,University of Missouri-Columbia,25,9433,24460,0.7767,1,27276,26,1166,missouri.edu/
178110,University of Missouri-Kansas City,25,7774,18222,0.6426,1,8127,25,1129,www.umkc.edu/
178183,Missouri University of Science and Technology,25,8961,23771,0.8585,1,6418,29,1283,www.mst.edu/
178208,University of Missouri-St Louis,25,8844,23142,0.7578,1,8936,24,1105,www.umsl.edu/
178217,Moberly Area Community College,25,2970,5820,,1,4167,,,www.macc.edu
178226,Hillyard Technical Center,25,,,,1,146,,,www.hillyardtech.com
178244,National Academy of Beauty Arts-St Louis,25,,,,3,115,,,www.nabacollege.com
178262,Nazarene Theological Seminary,25,,,,2,,,,www.nts.edu
178305,Neosho Beauty College,25,,,,3,38,,,neoshobeautycollege.com
178314,Truman State University,25,7374,13438,0.7448,1,5394,27,1226,www.truman.edu
178341,Northwest Missouri State University,25,6525,11526,0.7658,1,5222,23,1051,www.nwmissouri.edu
178350,Ozark Christian College,25,11360,11360,,2,726,,,www.occ.edu
178369,College of the Ozarks,25,18530,18530,0.0831,2,1433,23,1074,www.cofo.edu
178387,Park University,25,11170,11170,0.6663,2,9750,,,www.park.edu
178396,Stevens-The Institute of Business & Arts,25,17640,17640,1,3,143,,,www.siba.edu
178402,Poplar Bluff Technical Career Center,25,,,,1,47,,,www.poplarbluffschools.net
178411,Ranken Technical College,25,14457,14457,,2,1851,,,www.ranken.edu
178420,Research College of Nursing,25,,,,3,281,,,www.researchcollege.edu
178448,Rockhurst University,25,32865,32865,0.7694,2,1671,26,1164,www.rockhurst.edu
178466,Rolla Technical Institute/Center,25,,,0.6533,1,145,,,rolla.k12.mo.us
178484,Everest College-Springfield,25,13500,13500,,3,232,,,www.everest.edu/campus/springfield
178518,Saint Louis University,25,37966,37966,0.6108,2,7822,28,1239,www.slu.edu
178527,Salem College of Hairstyling,25,,,,3,48,,,www.centralandsalemcolleges.com
178615,Sanford-Brown College-Fenton,25,,,,3,15,,,www.sanford-browncollege.com
178624,American College of Hair Design Inc,25,,,,3,29,,,www.americancollegeofhairdesign.com
178679,Sikeston Career and Technology Center,25,,,,1,46,,,www.sikestonr6.org
178697,Saint Louis Christian College,25,9145,9145,0.9333,2,166,21,990,www.stlchristian.edu
178721,St Louis College of Pharmacy,25,26872,26872,,2,693,26,1188,www.stlcop.edu
178767,Saint Louis Community College,25,3030,6060,,1,19362,,,www.stlcc.edu/
178828,Saint Paul School of Theology,16,,,,2,,,,www.spst.edu
178891,Southwest Baptist University,25,20840,20840,0.6185,2,2477,23,1070,www.sbuniv.edu
178989,Missouri State University-West Plains,25,3720,7140,,1,1571,,,www.wp.missouristate.edu
179043,Saint Luke's College of Health Sciences,25,,,,2,372,,,www.saintlukescollege.edu/
179052,St Louis College of Health Careers-St Louis,25,,,,3,305,,,www.slchc.com
179070,State Fair Community College,25,2352,4752,,1,4024,,,www.sfccmo.edu
179159,Stephens College,25,28510,28510,0.536,2,667,23,1064,www.stephens.edu
179195,Southeast Missouri State University,25,7058,12450,0.8478,1,9382,23,1050,www.semo.edu
179201,Missouri State University-Springfield,25,7008,13668,0.8503,1,16177,24,1090,www.missouristate.edu
179229,North Central Missouri College,25,2880,5040,,1,1182,,,www.ncmissouri.edu
179238,Truman Medical Center School of Nurse Anesthesia,25,,,,2,,,,crna.tmchost.com/
179256,Kansas City University of Medicine and Biosciences,25,,,,2,,,,www.kcumb.edu
179265,Washington University in St Louis,25,46467,46467,0.1713,2,6913,33,1478,www.wustl.edu
179308,Webster University,25,24600,24600,0.7206,2,3349,24,1105,www.webster.edu
179317,Wentworth Military Academy and College,25,19000,19000,,2,385,,,www.wma.edu
179326,Westminster College,25,22560,22560,0.6634,2,943,25,1114,WWW.WESTMINSTER-MO.EDU
179344,William Jewell College,25,31620,31620,0.6283,2,1043,25,1141,www.jewell.edu
179450,William Woods University,25,21260,21260,0.763,2,990,23,1042,www.williamwoods.edu
179511,Academy of Cosmetology,26,,,,3,29,,,www.academycosmetology.com
179539,Blackfeet Community College,26,2670,2670,,2,482,,,bfcc.edu
179548,Butte Academy of Beauty Culture,26,,,,3,46,,,butteacademyofbeauty.ipage.com/
179557,Highlands College of Montana Tech,26,3236,8204,,1,569,,,www.mtech.edu/
179566,Crevier's Academy of Cosmetology Arts,26,,,,3,82,,,www.crevierschool.com
179645,Carroll College,26,29280,29280,0.5753,2,1410,25,1133,www.carroll.edu
179715,Dawson Community College,26,3359,10319,,1,237,,,www.dawson.edu
179742,Chief Dull Knife College,26,2260,2260,,1,168,,,cdkc.edu
179812,Montana State University-Billings,26,5780,17466,,1,4071,,,www.msubillings.edu
179867,Flathead Valley Community College,26,3837,10977,,1,1625,,,www.fvcc.edu
179894,Aaniiih Nakoda College,26,2410,2410,,1,124,,,www.ancollege.edu
179919,Fort Peck Community College,26,2250,2250,,1,323,,,www.fpcc.edu
179946,Great Falls College Montana State University,26,3094,9346,,1,1479,,,www.gfcmsu.edu
179955,University of Great Falls,26,21556,21556,0.6571,2,1035,,,www.ugf.edu
179964,Helena College University of Montana,26,3061,8357,,1,1065,,,www.umhelena.edu
179991,Little Big Horn College,26,2860,2860,,1,256,,,www.lbhc.edu/
180054,Miles Community College,26,3900,7860,,1,345,,,www.milescc.edu/
180063,Modern Beauty School Inc,26,,,,3,46,,,modernbeautyschool.org
180081,Montana Tech of the University of Montana,26,6494,19147,0.9075,1,1868,25,1125,www.mtech.edu
180090,Montana State University,26,6800,21391,0.8385,1,13117,25,1128,www.montana.edu/
180106,The University of Montana,26,6099,22372,0.9272,1,10969,23,1075,www.umt.edu
180151,Montana State University-Northern,26,5480,17312,1,1,1125,19,917,www.msun.edu
180160,Rocky Mountain College,26,24530,24530,0.6361,2,903,23,1031,rocky.edu
180179,Salish Kootenai College,26,4191,11463,,2,818,,,www.skc.edu
180197,The University of Montana-Western,26,4761,15490,,1,1337,,,www.umwestern.edu
180203,La'James International College,27,,,,3,24,,,www.ljic.edu
